z,q,p1,p2,p3,pillow_h_order10,pillow_h_order8,c_recursion_order20,c_recursion_order18,relative_h10_vs_c20,relative_h_truncation_shift,relative_c_truncation_shift,difference_over_shift_sum,cover_residual,nome_product_residual
0.13833333333333334,0.009304349729011223,0.12159879162979012,0.3489885147027502,0.21925304443831187,1.2335605964454115,1.2335578351669894,1.2335464807551852,1.2335201272514296,1.1443176602188626e-05,2.238466931575583e-06,2.1364470002205494e-05,0.484820030417947,4.335884210319203e-67,0.0
0.14141666666666666,0.009528317412558654,0.12535886408868194,0.34737693859029595,0.2188064824904442,1.2523951235218023,1.2523923980164036,1.2523804155923044,1.252352991628862,1.1743979157376642e-05,2.1762391747864087e-06,2.189795019916338e-05,0.4878244901605938,5.57898433335703e-67,0.0
0.1445,0.009753087010502051,0.1291871970218127,0.3457435941137203,0.2183576848210641,1.2712907111029077,1.2712880196106904,1.2712753714469571,1.2712468068432805,1.206635186616528e-05,2.1171380330972307e-06,2.246975451401212e-05,0.4907635986550853,4.778525126378632e-67,0.0
0.14758333333333334,0.009978664208621587,0.13308605244533567,0.3440879165937241,0.21790662959192236,1.290255634746206,1.2902529751793461,1.2902396192192136,1.2902098360704637,1.2412831503301376e-05,2.0612755102586686e-06,2.308395728913711e-05,0.49364551930494144,4.702830763098433e-67,0.0
0.15066666666666667,0.010205054753426746,0.1370578051233917,0.34240931789164347,0.21745329463368754,1.3092981954372842,1.3092955653594596,1.3092814545064269,1.309250366072186,1.2786349947682739e-05,2.008773186283761e-06,2.3745217145995223e-05,0.4964803427629177,6.012055442796089e-67,0.0
0.15375,0.010432264453025968,0.14110495022551733,0.34070718500312214,0.21699765743893337,1.3284267489871966,1.3284241455906118,1.3284092268519958,1.3283767362407841,1.3190314284548635e-05,1.959763072150312e-06,2.4458883030263153e-05,0.4992804791515655,5.070150692259534e-67,0.0
0.15683333333333332,0.010660299178011961,0.1452301116509104,0.33898087853900805,0.21653969515493157,1.3476497354762051,1.3476471555559293,1.347631369003957,1.347597367610133,1.3628706388485858e-05,1.9143885439704248e-06,2.5231122174412686e-05,0.502061152205783,6.786742650740608e-67,0.0
0.15991666666666668,0.010889164862362997,0.1494360510910581,0.33722973108202536,0.21607938457624332,1.3669757090359653,1.3669731489613217,1.3669564264654128,1.366920792105216,1.4106207176297863e-05,1.8728053624538708e-06,2.606907466954024e-05,0.5048410185766284,5.752941998646222e-67,0.0
0.163,0.011118867504360544,0.15372567791140443,0.3354530454063619,0.2156167021371024,1.3864133682643578,1.3864108239470834,1.3863930876180606,1.3863556822995031,1.4628352145009117e-05,1.8351827831349348e-06,2.6981040316780924e-05,0.5076429376010707,3.632662124267004e-67,0.0
0.16608333333333333,0.011349413167523598,0.15810205994328672,0.33365009254568745,0.21515162390358303,1.4059715875749803,1.4059690544338397,1.4059502147041625,1.405910881950727,1.5201726628954378e-05,1.801704762081987e-06,2.7976704597977346e-05,0.5104949174801756,6.4531873289954e-67,0.0
0.16916666666666666,0.01158080798156009,0.16256843528953946,0.33182010969325804,0.21468412556554378,1.425659449796963,1.4256569227184746,1.425636875961107,1.4255954375911788,1.5834211527863806e-05,1.7725712604972747e-06,2.9067411999007103e-05,0.5134312620933075,7.028670300998263e-67,0.0
0.17225,0.01181305814333571,0.1671282252612362,0.3299622979156124,0.21421418242834095,1.4454862803605704,1.4454837536554757,1.445462379216305,1.4454186314582451,1.653529321071512e-05,1.747999649510426e-06,3.02664965759203e-05,0.5164939374426359,6.6044494459977834e-68,1.6472184286297693e-83
0.17533333333333334,0.012046169917860568,0.17178504857935908,0.3280758196588863,0.21374176940430178,1.465461683430598,1.4654591507856793,1.46543630726864,1.465390016064586,1.7316455060045003e-05,1.728226213255774e-06,3.1589681618068695e-05,0.5197341666142856,4.447596791204082e-67,1.6472184286297693e-83
0.17841666666666667,0.012280149639294087,0.17654273699416548,0.3261597960238954,0.21326686100394993,1.4855955803835774,1.4855930348084085,1.4855685554063367,1.485519450725163,1.8191672907002125e-05,1.7135077435654208e-06,3.3055562584255936e-05,0.5232142457500681,4.281925216073569e-67,1.6472184286297693e-83
0.1815,0.012515003711968502,0.18140535249716172,0.3242133037827916,0.2127894313269732,1.5058982510673156,1.5058956848355232,1.505869371440215,1.5058171403804397,1.917804269639193e-05,1.7041232127086903e-06,3.468619022503645e-05,0.5270095496484478,3.939334079061424e-67,1.6472184286297693e-83
0.18458333333333332,0.01275073861143141,0.1863772063265056,0.32223537210620307,0.21230945405292495,1.5263803783336376,1.5263777829182505,1.5263493986663532,1.5262936770816997,2.029657646633618e-05,1.7003755007415442e-06,3.650777402161206e-05,0.5312106636952336,3.9278333297855735e-67,0.0
0.18766666666666668,0.012987360885507799,0.1914628799970824,0.32022497896520086,0.21182690243164864,1.5470530963990365,1.5470504624015318,1.5470197222137065,1.5469600845358424,2.1573212578136858e-05,1.7025931400632072e-06,3.855152984245517e-05,0.5359255395405262,1.7062626625741876e-67,1.6472184286297693e-83
0.19075,0.013224877155381969,0.1966672486223439,0.3181810471670829,0.21134174927341562,1.5679280436654153,1.5679253607381252,1.5678919192809055,1.5678278661435872,2.3040098660724934e-05,1.7111320201470654e-06,4.085470012471412e-05,0.541281527923952,2.369541569058664e-67,0.0
0.19383333333333333,0.01346329411669983,0.20199550683738307,0.31610243997765103,0.21085396693876501,1.5890174207269068,1.5890146774885658,1.5889781138230752,1.5889090570071682,2.473722167075182e-05,1.7263769679533539e-06,4.346178001977637e-05,0.5474270985972918,3.733174634757004e-67,1.6472184286297693e-83
0.19691666666666666,0.013702618540692012,0.20745319768302228,0.31398795627519144,0.21036352732803495,1.610334054402267,1.6103312383466555,1.6102910363149905,1.6102162804318256,2.671447974705189e-05,1.7487430812361068e-06,4.642598890188423e-05,0.5545330227558344,2.0425644693565693e-67,0.0
0.2,0.01394285727531827,0.21304624487063284,0.3118363251725032,0.20987040187057285,1.6318914687698138,1.6318885661677445,1.6318440892922883,1.6317628095002612,2.9034316352049723e-05,1.7786766386388833e-06,4.981103353608816e-05,0.5627927789032853,2.4702724057515706e-67,1.6472184286297693e-83
